,lower,mean,upper
gru_unstacked_joint,3.811611611900016,6.2,8.588388388099984
lstm_unstacked_joint,2.644415410601235,6.2,9.755584589398765
gru_stacked_iterative,3.7414748090129724,6.6,9.458525190987027
lstm_stacked_joint,3.073513677044879,7.0,10.926486322955121
gru_stacked_joint,4.245208615073338,7.6,10.954791384926661
lstm_stacked_iterative,6.244021933829831,8.0,9.755978066170169
cnn,5.368570446035449,8.2,11.03142955396455
gru_unstacked_iterative,2.0464889686230734,10.8,19.553511031376928
lstm_unstacked_iterative,-0.7831481772850388,11.8,24.38314817728504
